ID,sha1,annee,largeur,hauteur,url,couleur,taille
28,Sundaysilence.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Sundaysilence.jpg,"[170.29032258065027, 207.2173060156852, 146.85636442894236]",petite
29,Paul%20Schockemuhle%20met%20Deister%20in%20actie%2C%20Bestanddeelnr%20930-4033.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Schockemuhle%20met%20Deister%20in%20actie%2C%20Bestanddeelnr%20930-4033.jpg,"[48.16921803889174, 48.16921803889174, 48.16921803889174]",petite
30,Bairactar%20d.b.%200002.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Bairactar%20d.b.%200002.jpg,"[192.69314769314798, 198.2033852033846, 197.77040677040688]",petite
31,Wakataka01.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Wakataka01.jpg,"[103.12395615866221, 81.35829853862201, 92.5855949895637]",petite
32,Highflyer.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Highflyer.jpg,"[236.329603255341, 238.85757884029132, 194.86826042726472]",petite
33,Marengo%2C%20Napoleon%20Bonaparte%27s%20Arab%20Stallion%20by%20Antoine-Jean%2C%20Baron%20Gros.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Marengo%2C%20Napoleon%20Bonaparte%27s%20Arab%20Stallion%20by%20Antoine-Jean%2C%20Baron%20Gros.jpg,"[114.74056202100525, 144.23758160658494, 164.75305137666712]",petite
34,Borgia.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Borgia.jpg,"[173.02875513484432, 173.3045186640477, 153.0510805500986]",petite
35,Lynne%20Roberts-Roy%20Rogers%20in%20Billy%20the%20Kid%20Returns.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Lynne%20Roberts-Roy%20Rogers%20in%20Billy%20the%20Kid%20Returns.jpg,"[217.94957288509028, 217.94957288509028, 217.94957288509028]",petite
36,Totilas.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Totilas.jpg,"[205.51912212081302, 196.89461103868405, 161.48826597131455]",petite
37,Lammtarra.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Lammtarra.jpg,"[156.30754352030993, 155.116295938105, 146.92770793036715]",petite
38,Byerly%20Turk.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Byerly%20Turk.jpg,"[44.418348045396826, 34.56935687263699, 27.876418663305444]",petite
39,Matchem.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Matchem.jpg,"[83.00140515222691, 57.70140515222541, 52.284074941453646]",petite
40,Makybe%20Diva%20-%20trackwork%2002.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Makybe%20Diva%20-%20trackwork%2002.jpg,"[94.48523543495777, 53.539505187548535, 56.648576749134016]",petite
41,Native%20Dancer%20%28USA%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Native%20Dancer%20%28USA%29.jpg,"[228.0973209404048, 219.76626571897506, 212.63121924548906]",petite
42,Mr.%20Prospector.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Mr.%20Prospector.jpg,"[64.13801585132558, 33.08636239409751, 47.96583766056182]",petite
43,Eclipse%28horse%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Eclipse%28horse%29.jpg,"[138.26002055498415, 137.80918122644795, 123.7338129496395]",petite
44,%27Comanche%2C%27%20Captain%20Keogh%27s%20horse%20%28G.%20W.%20Peters%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/%27Comanche%2C%27%20Captain%20Keogh%27s%20horse%20%28G.%20W.%20Peters%29.jpg,"[253.22816399287265, 253.22816399287265, 253.22816399287265]",petite
45,Dark%20Ronald%20%28GB%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Dark%20Ronald%20%28GB%29.jpg,"[253.63486238532204, 244.89484827099506, 238.6045165843302]",petite
46,Manowar1920.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Manowar1920.jpg,"[244.71826536473566, 227.95807007466823, 206.62636415853075]",petite
47,Secretariat%20statue.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Secretariat%20statue.jpg,"[30.925798525800282, 33.85110565110372, 37.23439803439559]",petite
48,Stsimon01.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Stsimon01.JPG,,petite
49,General%20R.%20E.%20Lee%20and%20Traveler.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/General%20R.%20E.%20Lee%20and%20Traveler.jpg,"[218.3305978898035, 218.3305978898035, 218.3305978898035]",petite
50,Phar%20Lap.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Phar%20Lap.jpg,"[177.39938239835288, 177.39938239835288, 177.39938239835288]",petite
51,Majestic%20Prince%20Horse%20Racing.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Majestic%20Prince%20Horse%20Racing.jpg,"[143.65628192032608, 143.65628192032608, 143.65628192032608]",petite
52,%D0%91%D0%B5%D1%80%D0%BB%D0%B8%D0%BD%20-%20panoramio%20%2881%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D0%B5%D1%80%D0%BB%D0%B8%D0%BD%20-%20panoramio%20%2881%29.jpg,"[207.96140212681877, 223.70834974399628, 239.90311146120763]",petite
53,Kincsem.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kincsem.jpg,"[137.93861572189164, 93.24647666771085, 80.56028813028436]",petite
54,Big%20Ben%20%28horse%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Ben%20%28horse%29.jpg,"[47.2676754500388, 56.628489433863685, 34.46908426819634]",petite
55,Godolphin%20Arabian.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Godolphin%20Arabian.jpg,"[82.71401045967481, 76.32562620423914, 75.36416184971185]",petite
56,Iide-Kenshin.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Iide-Kenshin.jpg,"[176.74428152492638, 188.23812316715384, 180.906451612902]",petite
57,1999-4-11-UmenoFiber.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/1999-4-11-UmenoFiber.JPG,,petite
58,A-shin-DS20100515.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/A-shin-DS20100515.jpg,"[139.55736167552342, 133.08440137542974, 86.38762113160354]",petite
59,Company%20200820629P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Company%20200820629P1.jpg,"[65.47903629536813, 62.009386733419035, 63.0328535669576]",petite
60,Opal%20orchid%20wins%20Tennno%20Sho%20nikkei%20sinbun%20s29-11-22s.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Opal%20orchid%20wins%20Tennno%20Sho%20nikkei%20sinbun%20s29-11-22s.jpg,"[89.18187422934687, 83.45468557336592, 77.0721331689277]",petite
61,Erin-Court20110918.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Erin-Court20110918.jpg,"[38.30209979679639, 30.320839918715492, 20.158500790247594]",petite
62,Old%20Bald%20Peg.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Bald%20Peg.jpg,"[57.87293677981719, 41.48894425412861, 18.717533478667164]",petite
